order_date,order_time,item_serial,order_revenue,box_type,delivery_region,distance_(miles),order_week,order_month,order_year,financial_quarter
2021-08-22,00:14,30351,20.0,small,south_east,70,33,August,2021,Q3
2021-08-22,07:08,17634,20.0,small,greater_london,32,33,August,2021,Q3
2021-08-22,10:15,25598,20.0,small,south_west,190,33,August,2021,Q3
2021-08-22,17:05,10104,20.0,small,south_west,85,33,August,2021,Q3
2021-08-22,23:48,3252,20.0,small,greater_london,43,33,August,2021,Q3
2021-08-22,23:57,62831,20.0,small,greater_london,33,33,August,2021,Q3
2021-08-23,21:56,32892,20.0,small,south_wales,171,34,August,2021,Q3
2021-08-23,20:34,23747,20.0,small,south_east,67,34,August,2021,Q3
2021-08-23,19:03,20624,20.0,small,south_east,72,34,August,2021,Q3
2021-08-23,11:49,99590,100.0,large,north_east,210,34,August,2021,Q3
2021-08-23,04:43,93186,100.0,large,greater_london,45,34,August,2021,Q3
2021-08-23,02:11,90766,100.0,large,west_midlands,143,34,August,2021,Q3
2021-08-23,14:03,39952,20.0,small,south_west,110,34,August,2021,Q3
2021-08-24,13:25,17655,20.0,small,south_east,67,34,August,2021,Q3
2021-08-24,23:38,11270,20.0,small,north_east,292,34,August,2021,Q3
2021-08-24,22:17,80954,100.0,large,south_east,68,34,August,2021,Q3
2021-08-24,18:31,17431,20.0,small,greater_london,49,34,August,2021,Q3
2021-08-24,13:13,91003,100.0,large,greater_london,24,34,August,2021,Q3
2021-08-24,10:23,21721,20.0,small,east_midlands,83,34,August,2021,Q3
2021-08-24,07:20,12419,20.0,small,west_midlands,159,34,August,2021,Q3
2021-08-24,04:54,3194,20.0,small,south_wales,244,34,August,2021,Q3
2021-08-24,01:24,92044,100.0,large,greater_london,38,34,August,2021,Q3
2021-08-24,12:40,51071,20.0,small,south_east,76,34,August,2021,Q3
2021-08-25,01:13,23845,20.0,small,west_midlands,118,34,August,2021,Q3
2021-08-25,07:41,7180,20.0,small,south_east,79,34,August,2021,Q3
2021-08-25,12:54,66018,20.0,small,east_midlands,119,34,August,2021,Q3
2021-08-25,13:17,47086,20.0,small,north_wales,210,34,August,2021,Q3
2021-08-25,16:39,85902,100.0,large,south_east,44,34,August,2021,Q3
2021-08-25,21:27,55428,20.0,small,greater_london,19,34,August,2021,Q3
2021-08-25,22:02,37832,20.0,small,south_east,49,34,August,2021,Q3
2021-08-26,21:15,42169,20.0,small,greater_london,13,34,August,2021,Q3
2021-08-26,22:10,78409,100.0,large,greater_london,5,34,August,2021,Q3
2021-08-26,13:26,24960,20.0,small,west_midlands,125,34,August,2021,Q3
2021-08-26,03:19,84189,100.0,large,south_east,59,34,August,2021,Q3
2021-08-26,07:55,77674,100.0,large,greater_london,25,34,August,2021,Q3
2021-08-26,11:23,41953,20.0,small,west_midlands,107,34,August,2021,Q3
2021-08-27,00:50,19359,20.0,small,greater_london,25,34,August,2021,Q3
2021-08-27,07:10,78514,100.0,large,east_midlands,52,34,August,2021,Q3
2021-08-27,07:30,68757,20.0,small,south_east,44,34,August,2021,Q3
2021-08-27,10:44,33761,20.0,small,east_midlands,42,34,August,2021,Q3
2021-08-27,17:19,59264,20.0,small,south_west,271,34,August,2021,Q3
2021-08-27,18:05,97018,100.0,large,greater_london,16,34,August,2021,Q3
2021-08-27,20:35,69138,20.0,small,south_west,110,34,August,2021,Q3
2021-08-28,17:48,50632,20.0,small,south_west,191,34,August,2021,Q3
2021-08-28,13:43,37670,20.0,small,greater_london,40,34,August,2021,Q3
2021-08-28,23:06,39555,20.0,small,south_west,192,34,August,2021,Q3
2021-08-28,02:41,96646,100.0,large,east_midlands,82,34,August,2021,Q3
2021-08-28,05:53,95223,100.0,large,greater_london,32,34,August,2021,Q3
2021-08-29,01:50,23145,20.0,small,north_east,197,34,August,2021,Q3
2021-08-29,05:44,52588,20.0,small,north_wales,280,34,August,2021,Q3
2021-08-29,09:26,57646,20.0,small,east_midlands,80,34,August,2021,Q3
2021-08-29,10:32,19769,20.0,small,south_west,177,34,August,2021,Q3
2021-08-29,13:35,74560,20.0,small,south_east,44,34,August,2021,Q3
2021-08-29,18:01,28672,20.0,small,south_east,80,34,August,2021,Q3
2021-08-30,00:44,32471,20.0,small,south_east,59,35,August,2021,Q3
2021-08-30,08:06,56691,20.0,small,south_west,250,35,August,2021,Q3
2021-08-30,12:03,31529,20.0,small,south_east,45,35,August,2021,Q3
2021-08-30,16:02,58550,20.0,small,south_east,41,35,August,2021,Q3
2021-08-30,20:27,18372,20.0,small,greater_london,38,35,August,2021,Q3
2021-08-30,20:59,9317,20.0,small,west_midlands,89,35,August,2021,Q3
2021-08-31,22:32,31547,20.0,small,east_midlands,87,35,August,2021,Q3
2021-08-31,16:41,77568,100.0,large,south_west,173,35,August,2021,Q3
2021-08-31,14:45,81221,100.0,large,south_east,80,35,August,2021,Q3
2021-08-31,10:37,71923,20.0,small,greater_london,31,35,August,2021,Q3
2021-08-31,03:36,62413,20.0,small,greater_london,18,35,August,2021,Q3
2021-09-01,04:39,52435,20.0,small,south_west,229,35,September,2021,Q3
2021-09-01,08:49,95030,100.0,large,south_east,55,35,September,2021,Q3
2021-09-01,19:05,66935,20.0,small,greater_london,33,35,September,2021,Q3
2021-09-01,19:06,2288,20.0,small,south_east,58,35,September,2021,Q3
2021-09-01,23:59,96344,100.0,large,north_wales,176,35,September,2021,Q3
2021-09-02,13:37,83299,100.0,large,greater_london,38,35,September,2021,Q3
2021-09-03,01:01,87150,100.0,large,west_midlands,116,35,September,2021,Q3
2021-09-03,09:44,88248,100.0,large,east_midlands,113,35,September,2021,Q3
2021-09-03,23:20,62777,20.0,small,greater_london,45,35,September,2021,Q3
