order_id,customer_id,order_date,order_time,order_revenue,item_serial,box_type,delivery_region,distance_(miles),order_week,order_month,order_year,financial_quarter
1097342,733603,2021-08-22,00:14:00,20.0,30351,small,south_east,70,33,August,2021,Q3
1097343,405061,2021-08-22,07:08:00,20.0,17634,small,greater_london,32,33,August,2021,Q3
1097344,842139,2021-08-22,10:15:00,20.0,25598,small,south_west,190,33,August,2021,Q3
1097345,211806,2021-08-22,17:05:00,20.0,10104,small,south_west,85,33,August,2021,Q3
1097346,103222,2021-08-22,23:48:00,20.0,3252,small,greater_london,43,33,August,2021,Q3
1097347,603400,2021-08-22,23:57:00,20.0,62831,small,greater_london,33,33,August,2021,Q3
1097354,862722,2021-08-23,21:56:00,20.0,32892,small,south_wales,171,34,August,2021,Q3
1097353,697945,2021-08-23,20:34:00,20.0,23747,small,south_east,67,34,August,2021,Q3
1097352,870782,2021-08-23,19:03:00,20.0,20624,small,south_east,72,34,August,2021,Q3
1097350,239710,2021-08-23,11:49:00,100.0,99590,large,north_east,210,34,August,2021,Q3
1097349,334749,2021-08-23,04:43:00,100.0,93186,large,greater_london,45,34,August,2021,Q3
1097348,837737,2021-08-23,02:11:00,100.0,90766,large,west_midlands,143,34,August,2021,Q3
1097351,730371,2021-08-23,14:03:00,20.0,39952,small,south_west,110,34,August,2021,Q3
1097361,103222,2021-08-24,13:25:00,20.0,17655,small,south_east,67,34,August,2021,Q3
1097364,559521,2021-08-24,23:38:00,20.0,11270,small,north_east,292,34,August,2021,Q3
1097363,899112,2021-08-24,22:17:00,100.0,80954,large,south_east,68,34,August,2021,Q3
1097362,800908,2021-08-24,18:31:00,20.0,17431,small,greater_london,49,34,August,2021,Q3
1097360,326432,2021-08-24,13:13:00,100.0,91003,large,greater_london,24,34,August,2021,Q3
1097358,630457,2021-08-24,10:23:00,20.0,21721,small,east_midlands,83,34,August,2021,Q3
1097357,569115,2021-08-24,07:20:00,20.0,12419,small,west_midlands,159,34,August,2021,Q3
1097356,932823,2021-08-24,04:54:00,20.0,3194,small,south_wales,244,34,August,2021,Q3
1097355,701155,2021-08-24,01:24:00,100.0,92044,large,greater_london,38,34,August,2021,Q3
1097359,212427,2021-08-24,12:40:00,20.0,51071,small,south_east,76,34,August,2021,Q3
1097365,281402,2021-08-25,01:13:00,20.0,23845,small,west_midlands,118,34,August,2021,Q3
1097366,322715,2021-08-25,07:41:00,20.0,7180,small,south_east,79,34,August,2021,Q3
1097367,796456,2021-08-25,12:54:00,20.0,66018,small,east_midlands,119,34,August,2021,Q3
1097368,988770,2021-08-25,13:17:00,20.0,47086,small,north_wales,210,34,August,2021,Q3
1097369,706131,2021-08-25,16:39:00,100.0,85902,large,south_east,44,34,August,2021,Q3
1097370,405990,2021-08-25,21:27:00,20.0,55428,small,greater_london,19,34,August,2021,Q3
1097371,378756,2021-08-25,22:02:00,20.0,37832,small,south_east,49,34,August,2021,Q3
1097376,142521,2021-08-26,21:15:00,20.0,42169,small,greater_london,13,34,August,2021,Q3
1097377,261311,2021-08-26,22:10:00,100.0,78409,large,greater_london,5,34,August,2021,Q3
1097375,260338,2021-08-26,13:26:00,20.0,24960,small,west_midlands,125,34,August,2021,Q3
1097372,170561,2021-08-26,03:19:00,100.0,84189,large,south_east,59,34,August,2021,Q3
1097373,188318,2021-08-26,07:55:00,100.0,77674,large,greater_london,25,34,August,2021,Q3
1097374,892013,2021-08-26,11:23:00,20.0,41953,small,west_midlands,107,34,August,2021,Q3
1097378,950702,2021-08-27,00:50:00,20.0,19359,small,greater_london,25,34,August,2021,Q3
1097379,104011,2021-08-27,07:10:00,100.0,78514,large,east_midlands,52,34,August,2021,Q3
1097380,458412,2021-08-27,07:30:00,20.0,68757,small,south_east,44,34,August,2021,Q3
1097381,104011,2021-08-27,10:44:00,20.0,33761,small,east_midlands,42,34,August,2021,Q3
1097382,270488,2021-08-27,17:19:00,20.0,59264,small,south_west,271,34,August,2021,Q3
1097383,979973,2021-08-27,18:05:00,100.0,97018,large,greater_london,16,34,August,2021,Q3
1097384,103222,2021-08-27,20:35:00,20.0,69138,small,south_west,110,34,August,2021,Q3
1097388,635746,2021-08-28,17:48:00,20.0,50632,small,south_west,191,34,August,2021,Q3
1097387,488070,2021-08-28,13:43:00,20.0,37670,small,greater_london,40,34,August,2021,Q3
1097389,636700,2021-08-28,23:06:00,20.0,39555,small,south_west,192,34,August,2021,Q3
1097385,104011,2021-08-28,02:41:00,100.0,96646,large,east_midlands,82,34,August,2021,Q3
1097386,617548,2021-08-28,05:53:00,100.0,95223,large,greater_london,32,34,August,2021,Q3
1097390,366566,2021-08-29,01:50:00,20.0,23145,small,north_east,197,34,August,2021,Q3
1097391,340083,2021-08-29,05:44:00,20.0,52588,small,north_wales,280,34,August,2021,Q3
1097392,668609,2021-08-29,09:26:00,20.0,57646,small,east_midlands,80,34,August,2021,Q3
1097393,859152,2021-08-29,10:32:00,20.0,19769,small,south_west,177,34,August,2021,Q3
1097394,804467,2021-08-29,13:35:00,20.0,74560,small,south_east,44,34,August,2021,Q3
1097395,570814,2021-08-29,18:01:00,20.0,28672,small,south_east,80,34,August,2021,Q3
1097396,957542,2021-08-30,00:44:00,20.0,32471,small,south_east,59,35,August,2021,Q3
1097397,514937,2021-08-30,08:06:00,20.0,56691,small,south_west,250,35,August,2021,Q3
1097398,780622,2021-08-30,12:03:00,20.0,31529,small,south_east,45,35,August,2021,Q3
1097399,526033,2021-08-30,16:02:00,20.0,58550,small,south_east,41,35,August,2021,Q3
1097400,903833,2021-08-30,20:27:00,20.0,18372,small,greater_london,38,35,August,2021,Q3
1097401,889702,2021-08-30,20:59:00,20.0,9317,small,west_midlands,89,35,August,2021,Q3
1097406,791246,2021-08-31,22:32:00,20.0,31547,small,east_midlands,87,35,August,2021,Q3
1097405,531315,2021-08-31,16:41:00,100.0,77568,large,south_west,173,35,August,2021,Q3
1097404,110996,2021-08-31,14:45:00,100.0,81221,large,south_east,80,35,August,2021,Q3
1097403,994428,2021-08-31,10:37:00,20.0,71923,small,greater_london,31,35,August,2021,Q3
1097402,100131,2021-08-31,03:36:00,20.0,62413,small,greater_london,18,35,August,2021,Q3
1097407,340168,2021-09-01,04:39:00,20.0,52435,small,south_west,229,35,September,2021,Q3
1097408,855397,2021-09-01,08:49:00,100.0,95030,large,south_east,55,35,September,2021,Q3
1097409,310537,2021-09-01,19:05:00,20.0,66935,small,greater_london,33,35,September,2021,Q3
1097410,579038,2021-09-01,19:06:00,20.0,2288,small,south_east,58,35,September,2021,Q3
1097411,670856,2021-09-01,23:59:00,100.0,96344,large,north_wales,176,35,September,2021,Q3
1097412,109212,2021-09-02,13:37:00,100.0,83299,large,greater_london,38,35,September,2021,Q3
1097413,390110,2021-09-03,01:01:00,100.0,87150,large,west_midlands,116,35,September,2021,Q3
1097414,103222,2021-09-03,09:44:00,100.0,88248,large,east_midlands,113,35,September,2021,Q3
1097415,887615,2021-09-03,23:20:00,20.0,62777,small,greater_london,45,35,September,2021,Q3
1097416,992504,2021-09-04,10:00:00,20.0,12345,small,south_west,173,35,September,2021,Q3
1097417,444925,2021-09-04,13:52:00,20.0,53210,small,south_east,72,35,September,2021,Q3
1097418,742017,2021-09-04,21:23:00,100.0,99277,large,greater_london,47,35,September,2021,Q3
1097420,100131,2021-09-05,23:14:00,20.0,5082,small,west_midlands,92,35,September,2021,Q3
1097419,687146,2021-09-05,09:10:00,100.0,78280,large,greater_london,25,35,September,2021,Q3
1097421,282617,2021-09-06,00:23:00,20.0,40248,small,east_midlands,62,36,September,2021,Q3
1097422,373722,2021-09-06,13:58:00,20.0,53798,small,south_east,69,36,September,2021,Q3
1097423,808863,2021-09-06,22:34:00,20.0,14588,small,west_midlands,116,36,September,2021,Q3
1097424,666133,2021-09-07,10:17:00,20.0,60868,small,south_east,42,36,September,2021,Q3
1097425,930292,2021-09-08,01:06:00,100.0,88231,large,greater_london,13,36,September,2021,Q3
1097426,453405,2021-09-08,14:39:00,100.0,83346,large,greater_london,11,36,September,2021,Q3
1097427,564119,2021-09-08,18:51:00,20.0,70318,small,greater_london,40,36,September,2021,Q3
1097428,158729,2021-09-09,06:30:00,20.0,38279,small,north_east,293,36,September,2021,Q3
1097429,110818,2021-09-09,21:22:00,20.0,743,small,north_east,222,36,September,2021,Q3
1097430,104011,2021-09-10,08:41:00,20.0,7814,small,greater_london,11,36,September,2021,Q3
1097431,929724,2021-09-10,13:57:00,20.0,29006,small,east_midlands,103,36,September,2021,Q3
1097432,505799,2021-09-10,14:22:00,100.0,96394,large,greater_london,34,36,September,2021,Q3
1097433,847225,2021-09-10,23:25:00,20.0,61451,small,west_midlands,120,36,September,2021,Q3
